Project ID,Toolkit Locations Found by Autocoder,All Toolkit Locations,All Autocoder Locations,Percentage Correct of Locations Found by Autocoder,Percentage Incorrect of Locations Found by Autocoder
NGA/000173,2328926,2328926,2328926,100.0,0.0
NGA/000174,2328926,2328926,2328926,100.0,0.0
NGA/000175,2347266,"2322907, 2332453, 2335196, 2345891, 2347266, 2352776, 2565343",2347266,100.0,0.0
NGA/000177,,2352776,2328926,0.0,100.0
NGA/000178,2328926,2328926,2328926,100.0,0.0
NGA/000179,2335722,"2324828, 2328925, 2335722",2335722,100.0,0.0
NGA/000180,,8051232,2328926,0.0,100.0
NGA/000181,2565345,"2332453, 2335196, 2335722, 2352776, 2565345",2565345,100.0,0.0
NGA/000182,2328926,2328926,2328926,100.0,0.0
NGA/000183,2565344,"2332453, 2335196, 2565344, 2565345",2565344,100.0,0.0
NGA/000184,2328926,2328926,2328926,100.0,0.0
NGA/000185,2565345,"2332453, 2335196, 2335722, 2352778, 2565345",2565345,100.0,0.0
NGA/000187,,2352776,2328926,0.0,100.0
NGA/000188,8659740,8659740,8659740,100.0,0.0
NGA/000189,8659740,8659740,8659740,100.0,0.0
NGA/000190,8659740,8659740,8659740,100.0,0.0
NGA/000191,8659740,8659740,8659740,100.0,0.0
NGA/000192,8659740,8659740,8659740,100.0,0.0
NGA/000193,8659740,8659740,8659740,100.0,0.0
NGA/000194,8659740,8659740,8659740,100.0,0.0
NGA/000195,8634971,8634971,8634971,100.0,0.0
NGA/000196,,"7871281, 8633821",2328926,0.0,100.0
NGA/000197,2565340,"2332453, 2335196, 2335722, 2345891, 2565340, 2565345",2565340,100.0,0.0
NGA/000198,2328926,2328926,2328926,100.0,0.0
NGA/000199,2565345,"2324828, 2335196, 2565345",2565345,100.0,0.0
NGA/000200,2328926,2328926,2328926,100.0,0.0
NGA/000202,2328926,2328926,2328926,100.0,0.0
NGA/000203,2350813,"2345891, 2350813",2350813,100.0,0.0
NGA/000204,2328926,2328926,2328926,100.0,0.0
NGA/000205,2328926,2328926,2328926,100.0,0.0
NGA/000206,2347468,"2322907, 2328925, 2334797, 2347468, 2595349",2347468,100.0,0.0
NGA/000207,2565344,"2332453, 2332785, 2335196, 2335722, 2565344, 2565345",2565344,100.0,0.0
NGA/000208,2349961,"2327546, 2328925, 2332453, 2334797, 2335196, 2335722, 2349961, 2565344, 2565345, 2597367",2349961,100.0,0.0
NGA/000211,2328926,2328926,2328926,100.0,0.0
NGA/000212,2328926,2328926,2328926,100.0,0.0
NGA/000213,2328926,2328926,2328926,100.0,0.0
NGA/000217,2328926,2328926,2328926,100.0,0.0
NGA/000218,2328926,2328926,2328926,100.0,0.0
NGA/000219,,2335953,2328926,0.0,100.0
NGA/000220,2595344,"2324433, 2324828, 2335196, 2335722, 2565341, 2595344",2595344,100.0,0.0
NGA/000221,2335196,2335196,2335196,100.0,0.0
NGA/000222,2328926,2328926,2328926,100.0,0.0
NGA/000223,2565344,"2332453, 2335196, 2335722, 2565344, 2565345",2565344,100.0,0.0
NGA/000224,2350813,"2327546, 2332453, 2335722, 2345891, 2347266, 2350813, 2565344, 2595348",2350813,100.0,0.0
NGA/000225,2347468,"2334797, 2335722, 2347266, 2347468, 2565345, 2595349",2347468,100.0,0.0
NGA/000226,2328926,2328926,2328926,100.0,0.0
NGA/000227,2565345,"2334797, 2565345, 2595349, 2597363, 2597367",2565345,100.0,0.0
NGA/000228,2328926,2328926,2328926,100.0,0.0
NGA/000229,2565345,"2334797, 2335196, 2565345, 2595349, 2597363, 2597367",2565345,100.0,0.0
NGA/000230,2328926,2328926,2328926,100.0,0.0
NGA/000231,,"2324433, 2335196, 2347468, 2349961, 2350813, 2565345, 2595347",2328926,0.0,100.0
NGA/000232,2328926,2328926,2328926,100.0,0.0
NGA/000233,,"2326168, 2565342, 2595348",2328926,0.0,100.0
NGA/000234,,2352778,2328926,0.0,100.0
NGA/000235,2332453,2332453,2332453,100.0,0.0
NGA/000236,,"2332785, 2334797, 2352776, 2565340, 2565342, 2595344, 2595345, 2595346, 2595347, 2595348, 2595349, 2597366",2328926,0.0,100.0
NGA/000237,,"2332453, 2335196, 2335722, 2345891, 8635054",2328926,0.0,100.0
NGA/000238,2328926,2328926,2328926,100.0,0.0
NGA/000239,7932490,7932490,7932490,100.0,0.0
NGA/000240,2332453,2332453,2332453,100.0,0.0
NGA/000241,2328926,2328926,2328926,100.0,0.0
NGA/000242,"7910350, 8638547","7910350, 8638547","7910350, 8638547",100.0,0.0
NGA/000243,2345891,"2332453, 2345891",2345891,100.0,0.0
NGA/000244,2332453,"2331158, 2331226, 2332453, 2347625, 2351943, 2566636, 2566646, 2566650, 7871290, 9179526",2332453,100.0,0.0
NGA/000245,,"2319522, 2320576, 2320693, 2322269, 2322495, 2324828, 2325643, 2326016, 2326168, 2326974, 2327546, 2328765, 2330600, 2330770, 2331160, 2332453, 2332785, 2334663, 2335722, 2338484, 2341326, 2343369, 2343592, 2343641, 2345074, 2345077, 2345891, 2346098, 2347468, 2351657, 2352776, 2352778, 2352824, 2565342, 2565344, 2565345, 2595344, 2595345, 2595346, 2595347, 2595348, 2595349, 2597363, 2597366, 2597367, 7073580, 7628264, 7701336, 7701374, 7701376, 7701377, 7701378, 7701380, 7701382, 7701383, 7701409, 7701411, 7701412, 7701413, 7701414, 7701428, 7701431, 7701432, 7701433, 7701434, 7701464, 7701466, 7701468, 7701469, 7701471, 7701472, 7701474, 7701475, 7701476, 7701477, 7701478, 7701479, 7701480, 7701482, 7701483, 7701486, 7701487, 7701488, 7701489, 7701491, 7701492, 7701495, 7701499, 7701517, 7701519, 7701520, 7701521, 7701522, 7701523, 7701524, 7701525, 7701526, 7701527, 7701528, 7701530, 7701531, 7701532, 7701533, 7701534, 7701535, 7701536, 7701537, 7701538, 7729904, 7729905, 7729906, 7729907, 7729908, 7729909, 7729910, 7729911, 7729912, 7729963, 7729995, 7730000, 7730384, 7730386, 7730388, 7730389, 7730390, 7730394, 7730396, 7730397, 7730398, 7730399, 7730400, 7730401, 7871263, 7871265, 7871268, 7873893, 7873920, 7873921, 7873928, 7910323, 7910326, 7910328, 7910340, 7910343, 7932059, 7932060, 7932062, 7932087, 7932511, 8632711, 8632713, 8632714, 8632715, 8632716, 8632717, 8632718, 8632719, 8632720, 8632721, 8633494, 8633495, 8633552, 8633553, 8633554, 8633555, 8633556, 8633557, 8633558, 8633560, 8633564, 8633642, 8633645, 8633652, 8633654, 8633656, 8633658, 8633695, 8633696, 8633700, 8633720, 8633721, 8633724, 8633725, 8633726, 8634809, 8634913, 8634914, 8634918, 8634957, 8636318, 8636320, 8636367, 8636371, 8636372, 8637590, 8637964, 8637965, 8637967, 8637969, 8637981, 8638007, 8638035, 8638036, 8638118, 8638120, 8638156, 8638160, 8638162, 8638327, 8638328, 8638388, 8638389, 8638394, 8638447, 8638449, 8638451, 8638452, 8638455, 8638458, 8638463, 8638472, 8638479, 8659759, 8659762, 8659763",2328926,0.0,100.0
NGA/000246,2328926,"2318933, 2319896, 2321848, 2322483, 2323338, 2325316, 2326848, 2326850, 2327385, 2327859, 2328109, 2328194, 2328504, 2328926, 2332453, 2333312, 2333470, 2335029, 2335196, 2335722, 2335758, 2336843, 2337540, 2338229, 2338302, 2341706, 2341756, 2343050, 2343252, 2343272, 2343612, 2343822, 2343986, 2345891, 2346177, 2347371, 2348145, 2348395, 2349361, 2349770, 2350232, 2350941, 2351465, 2352589, 2353016, 2565344, 2566687, 7730001, 7910348, 7932063, 7932490, 7932491, 7932498, 7932499, 7932500, 7932501, 7932502, 7932503, 7932505",2328926,100.0,0.0
NGA/000247,,"2318044, 2324774, 2325590, 2327821, 2332453, 2334747, 2335204, 2335727, 2335953, 2338313, 2338400, 2339088, 2339354, 2343279, 2343696, 2343720, 2345438, 2346995, 2347065, 2347283, 2350671, 2350841, 2351216, 2352281, 2352778, 7644922, 8468823",2328926,0.0,100.0
NGA/000248,2335196,2335196,2335196,100.0,0.0
NGA/000249,2328926,2328926,2328926,100.0,0.0
NGA/000250,8659806,"2565342, 8051232, 8659806",8659806,100.0,0.0
NGA/000251,,8051232,2328926,0.0,100.0
NGA/000252,,8051232,2328926,0.0,100.0
NGA/000253,2332453,2332453,2332453,100.0,0.0
NGA/000254,2345891,"2332453, 2345891",2345891,100.0,0.0
NGA/000255,2328926,2328926,2328926,100.0,0.0
NGA/000257,7730398,7730398,7730398,100.0,0.0
NGA/000258,7730398,7730398,7730398,100.0,0.0
NGA/000259,"8636733, 8636737","8636733, 8636737","8636733, 8636737",100.0,0.0
